City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Itacoatiara,-3.1431,-58.4442,79.81,90,100,2.91,BR,1682945511
115,Mount Gambier,-37.8333,140.7667,53.53,88,100,5.5,AU,1682945512
116,Palu,-0.8917,119.8707,78.28,96,81,1.23,ID,1682945512
117,Saint-Philippe,-21.3585,55.7679,80.19,82,52,1.39,RE,1682945512
118,Torbay,47.6666,-52.7314,37.58,91,100,18.41,CA,1682945512
119,Vanimo,-2.6741,141.3028,79.41,86,33,3.47,PG,1682945513
121,Provideniya,64.3833,-173.3,24.66,83,100,8.99,RU,1682945513
122,Tamandaré,-8.7597,-35.1047,84.2,62,66,5.88,BR,1682945513
123,Jiaojiang,28.6803,121.4428,57.09,74,0,1.5,CN,1682945513
125,Bandarbeyla,9.4942,50.8122,86.2,74,100,17.29,SO,1682945514
126,Seddon,-37.8068,144.8916,60.71,71,75,6.91,AU,1682945514
128,Padang,-0.9492,100.3543,80.65,88,100,3.69,ID,1682945515
129,Pangnirtung,66.1451,-65.7125,28.4,93,100,5.75,CA,1682945515
130,Lebyazh'ye,55.2689,66.4947,53.22,31,67,7.16,RU,1682945515
131,Nam Som,17.7704,102.1895,88.9,41,39,1.48,TH,1682945515
132,Nemuro,43.3236,145.575,40.64,94,36,9.15,JP,1682945516
133,Hithadhoo,-0.6,73.0833,83.03,77,100,11.95,MV,1682945516
134,Barrow,71.2906,-156.7887,8.62,92,100,12.66,US,1682945516
135,Bogalusa,30.791,-89.8487,62.73,88,0,0.0,US,1682945516
136,Ukiah,39.1502,-123.2078,50.43,76,100,6.91,US,1682945516
137,Kavaratti,10.5669,72.642,84.22,72,100,10.02,IN,1682945517
139,Falmouth,50.1544,-5.0711,59.58,63,75,11.5,GB,1682945517
140,Igarka,67.4667,86.5833,23.18,88,15,11.81,RU,1682945517
141,Hermanus,-34.4187,19.2345,64.8,69,100,4.7,ZA,1682945518
142,Talnakh,69.4865,88.3972,20.21,88,17,4.59,RU,1682945518
143,Alofi,-19.0595,-169.9187,77.32,75,65,25.37,NU,1682945518
145,Bushehr,28.9684,50.8385,86.09,45,0,18.41,IR,1682945518
146,Lompoc,34.6391,-120.4579,52.02,81,40,23.0,US,1682945519
147,Davila,18.4726,120.5763,87.78,82,0,18.3,PH,1682945519
148,Esperance,-33.8667,121.9,61.14,61,95,9.4,AU,1682945519
149,Matara,5.9485,80.5353,80.69,82,100,7.85,LK,1682945519
150,Sinjai,-5.1241,120.253,76.77,92,100,4.29,ID,1682945520
151,Rocha,-34.4833,-54.3333,62.87,49,6,10.31,UY,1682945366
152,Rome,43.2128,-75.4557,46.81,86,100,13.8,US,1682945317
153,Sanlúcar de Barrameda,36.7781,-6.3515,80.69,68,0,11.5,ES,1682945520
154,Atherton,53.5237,-2.4935,58.35,76,57,8.01,GB,1682945520
155,Carnarvon,-24.8667,113.6333,73.42,62,16,14.05,AU,1682945521
156,Magadan,59.5667,150.8,29.53,82,100,7.09,RU,1682945521
157,Masterton,-40.9597,175.6575,65.88,97,90,6.22,NZ,1682945521
158,Lakatoro,-16.0999,167.4164,81.01,83,72,10.22,VU,1682945521
159,Ajra,16.1167,74.2,82.53,37,19,10.36,IN,1682945522
160,San Cristobal,7.7669,-72.225,71.78,69,100,5.1,VE,1682945522
161,Cape Coast,5.1053,-1.2466,84.97,71,98,12.62,GH,1682945522
162,Mándalo,40.8583,22.2097,71.55,53,100,10.25,GR,1682945522
163,Clyde River,70.4692,-68.5914,17.83,100,0,2.3,CA,1682945523
164,East London,-33.0153,27.9116,72.46,51,0,8.72,ZA,1682945523
165,Marsá Maţrūḩ,31.3525,27.2453,73.6,56,0,11.5,EG,1682945523
166,Paranhos,-23.8928,-55.4311,70.72,77,86,7.16,BR,1682945523
167,Usinsk,65.9939,57.5281,38.73,78,100,12.12,RU,1682945524
168,Port Hardy,50.6996,-127.4199,46.58,100,100,3.44,CA,1682945524
169,Faanui,-16.4833,-151.75,81.61,79,100,16.33,PF,1682945524
170,Hervey Bay,-25.2986,152.8535,64.35,47,100,9.55,AU,1682945524
171,Levice,48.2156,18.6071,65.5,51,46,7.05,SK,1682945525
